sexo,producto,cantidad_ventas,ingresos_totales
F,Helado Frambuesa,459,2128000
F,Helado Pistacho,470,2110000
F,Helado Piña,399,1984000
F,Helado Manjar Chips,403,1934000
F,Helado Lúcuma Nuez,383,1829500
F,Helado Vainilla Bourbon,409,1678000
F,Helado Frutos Rojos,380,1552500
F,Helado Chocolate Suizo,274,1062500
F,Helado Pasas al Ron,224,963500
M,Helado Frambuesa,467,2176500
M,Helado Piña,427,2086500
M,Helado Pistacho,433,2020500
M,Helado Vainilla Bourbon,457,1830500
M,Helado Lúcuma Nuez,387,1744500
M,Helado Manjar Chips,362,1689500
M,Helado Frutos Rojos,374,1532500
M,Helado Chocolate Suizo,261,990500
M,Helado Pasas al Ron,175,697500
