rango_horario,hora_exacta,monto_total_ventas,total_transacciones
Tarde,14,2321000,481
Tarde,12,2259500,476
Noche,20,2161500,470
Tarde,16,2127000,457
Tarde,15,2124000,462
Tarde,17,2115000,456
Tarde,18,2074000,431
Tarde,13,2061500,436
Mañana,10,2009500,428
Mañana,9,1990000,422
Noche,19,1908000,395
Mañana,11,1888500,408
Noche,21,502500,113
Noche,4,493500,111
Noche,1,456500,103
Mañana,8,450000,94
Noche,2,432000,93
Mañana,6,428500,92
Noche,0,417000,98
Noche,22,414500,88
Noche,23,369500,89
Mañana,7,352500,79
Noche,3,340500,81
Noche,5,314000,71
