ciudad,producto,unidades_suministradas,costo_total_suministro
Castro,Helado Pistacho,299,20090
Castro,Helado Manjar Chips,218,19902
Castro,Helado Lúcuma Nuez,206,17413
Castro,Helado Frambuesa,271,16467
Castro,Helado Frutos Rojos,211,13926
Castro,Helado Chocolate Suizo,21,6657
Castro,Helado Vainilla Bourbon,47,5769
Castro,Helado Pasas al Ron,95,3370
Castro,Helado Piña,82,2316
Puerto Montt,Helado Manjar Chips,409,19346
Puerto Montt,Helado Frutos Rojos,259,13668
Puerto Montt,Helado Lúcuma Nuez,265,13434
Puerto Montt,Helado Pistacho,120,11540
Puerto Montt,Helado Chocolate Suizo,94,9150
Puerto Montt,Helado Pasas al Ron,77,7383
Puerto Montt,Helado Frambuesa,232,6030
Puerto Montt,Helado Piña,62,3247
Puerto Varas,Helado Frambuesa,146,9290
Puerto Varas,Helado Pasas al Ron,104,6579
Puerto Varas,Helado Pistacho,99,5394
Puerto Varas,Helado Lúcuma Nuez,29,5354
Puerto Varas,Helado Chocolate Suizo,35,2952
